num_dims,walls_percentage,mean_ratio,median_ratio,min_ratio,max_ratio
3,0,3.5,3.39,2.16,5.93
3,5,3.23,3.16,1.61,4.35
3,10,3.03,2.99,1.5,3.86
4,0,5.68,5.62,3.35,8.97
4,5,5.18,5.19,3.74,7.16
4,10,4.97,5.12,2.58,7.39
5,0,7.66,7.39,5.16,11.41
5,5,6.91,6.84,4.4,10.44
5,10,6.55,6.48,3.63,10.52
6,0,9.19,9.22,3.86,13.58
6,5,8.61,8.33,5.19,11.65
6,10,7.1,7.25,2.98,9.83
7,0,9.92,10.07,6.03,14.15
7,5,8.95,8.96,5.64,13.76
7,10,7.78,7.68,4.61,13.99
8,0,11.59,11.15,8.56,18.4
8,5,10.01,10.18,6.34,14.7
8,10,8.28,8.22,2.69,12.48
9,0,10.99,10.51,6.4,18.32
9,5,10.08,9.79,6.56,17.9
9,10,7.78,7.77,3.65,12.79
10,0,11.5,11.43,8.58,15.11
10,5,10.03,9.91,6.74,14.0
10,10,9.0,9.11,5.13,15.82
