test_number,algorithm,map_name,num_dims,time_limit,start,goal,n_generated,n_expanded,heuristic_time,search_time,timeout,num_nondom_labels_max,num_nondom_labels_avg,num_solutions
1,boa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0
1,emoa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0
2,boa,simple map 3 dims,3,600,1,169,7,7,0.0,0.0,0,-1.0,-1.0,0
2,emoa,simple map 3 dims,3,600,1,169,7,7,0.0,0.0,0,-1.0,-1.0,0
3,boa,simple map 3 dims,3,600,1,169,24,23,0.0,0.0,0,-1.0,-1.0,0
3,emoa,simple map 3 dims,3,600,1,169,24,23,0.0,0.0,0,-1.0,-1.0,0
4,boa,simple map 3 dims,3,600,1,169,92,91,0.0,0.0,0,-1.0,-1.0,0
4,emoa,simple map 3 dims,3,600,1,169,83,79,0.0,0.0,0,-1.0,-1.0,0
5,boa,simple map 3 dims,3,600,1,169,192,135,0.015,0.0,0,-1.0,-1.0,11
5,emoa,simple map 3 dims,3,600,1,169,192,135,0.0,0.0,0,-1.0,-1.0,11
6,boa,simple map 3 dims,3,600,1,169,7,7,0.0,0.0,0,-1.0,-1.0,0
6,emoa,simple map 3 dims,3,600,1,169,7,6,0.0,0.0,0,-1.0,-1.0,0
7,boa,simple map 3 dims,3,600,1,169,70,68,0.0,0.0,0,-1.0,-1.0,0
7,emoa,simple map 3 dims,3,600,1,169,68,66,0.0,0.0,0,-1.0,-1.0,0
8,boa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0
8,emoa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0
9,boa,simple map 3 dims,3,600,1,169,28,26,0.0,0.0,0,-1.0,-1.0,0
9,emoa,simple map 3 dims,3,600,1,169,18,16,0.0,0.0,0,-1.0,-1.0,0
10,boa,simple map 3 dims,3,600,1,169,1940,1787,0.0,0.058,0,-1.0,-1.0,0
10,emoa,simple map 3 dims,3,600,1,169,448,380,0.0,0.0,0,-1.0,-1.0,0
11,boa,simple map 3 dims,3,600,1,169,92,68,0.0,0.0,0,-1.0,-1.0,3
11,emoa,simple map 3 dims,3,600,1,169,92,68,0.0,0.0,0,-1.0,-1.0,3
12,boa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0
12,emoa,simple map 3 dims,3,600,1,169,1,1,0.0,0.0,0,-1.0,-1.0,0
13,boa,simple map 3 dims,3,600,1,169,101,80,0.0,0.0,0,-1.0,-1.0,4
13,emoa,simple map 3 dims,3,600,1,169,101,80,0.0,0.0,0,-1.0,-1.0,4
14,boa,simple map 3 dims,3,600,1,169,1,1,0.016,0.0,0,-1.0,-1.0,0
