test_number,algorithm,map_name,num_dims,heuristic_time,search_time,num_solutions,time_limit,start,goal,n_generated,n_expanded,timeout,num_nondom_labels_max,num_nondom_labels_avg
1,boa,simple map 4 dims,4,0.005,2.494,763,600,1,225,10350,8265,0,-1.0,-1.0
1,emoa,simple map 4 dims,4,0.0,0.425,763,600,1,225,10350,8265,0,-1.0,-1.0
2,boa,simple map 4 dims,4,0.0,6.303,1245,600,1,225,27356,21773,0,-1.0,-1.0
2,emoa,simple map 4 dims,4,0.0,1.086,1245,600,1,225,27356,21773,0,-1.0,-1.0
3,boa,simple map 4 dims,4,0.0,1.933,728,600,1,225,12831,10257,0,-1.0,-1.0
3,emoa,simple map 4 dims,4,0.014,0.55,728,600,1,225,12831,10257,0,-1.0,-1.0
4,boa,simple map 4 dims,4,0.015,4.561,1111,600,1,225,17717,13964,0,-1.0,-1.0
4,emoa,simple map 4 dims,4,0.0,0.913,1111,600,1,225,17717,13964,0,-1.0,-1.0
5,boa,simple map 4 dims,4,0.008,3.104,1026,600,1,225,14383,10605,0,-1.0,-1.0
5,emoa,simple map 4 dims,4,0.0,0.707,1026,600,1,225,14383,10605,0,-1.0,-1.0
6,boa,simple map 4 dims,4,0.0,2.625,788,600,1,225,12246,9791,0,-1.0,-1.0
6,emoa,simple map 4 dims,4,0.0,0.504,788,600,1,225,12246,9791,0,-1.0,-1.0
7,boa,simple map 4 dims,4,0.0,2.31,779,600,1,225,11575,9152,0,-1.0,-1.0
7,emoa,simple map 4 dims,4,0.0,0.456,779,600,1,225,11575,9152,0,-1.0,-1.0
8,boa,simple map 4 dims,4,0.016,0.494,400,600,1,225,7499,5517,0,-1.0,-1.0
8,emoa,simple map 4 dims,4,0.009,0.188,400,600,1,225,7499,5517,0,-1.0,-1.0
9,boa,simple map 4 dims,4,0.0,4.731,1004,600,1,225,16904,13460,0,-1.0,-1.0
9,emoa,simple map 4 dims,4,0.015,0.785,1004,600,1,225,16904,13460,0,-1.0,-1.0
10,boa,simple map 4 dims,4,0.0,3.044,856,600,1,225,15671,12419,0,-1.0,-1.0
10,emoa,simple map 4 dims,4,0.0,0.635,856,600,1,225,15671,12419,0,-1.0,-1.0
11,boa,simple map 4 dims,4,0.016,6.609,1204,600,1,225,20168,16128,0,-1.0,-1.0
11,emoa,simple map 4 dims,4,0.0,1.157,1204,600,1,225,20168,16128,0,-1.0,-1.0
12,boa,simple map 4 dims,4,0.0,1.18,475,600,1,225,7166,6036,0,-1.0,-1.0
12,emoa,simple map 4 dims,4,0.0,0.3,475,600,1,225,7166,6036,0,-1.0,-1.0
13,boa,simple map 4 dims,4,0.016,9.453,1701,600,1,225,25729,20645,0,-1.0,-1.0
13,emoa,simple map 4 dims,4,0.016,1.413,1701,600,1,225,25729,20645,0,-1.0,-1.0
14,boa,simple map 4 dims,4,0.016,5.957,1385,600,1,225,18919,15295,0,-1.0,-1.0
14,emoa,simple map 4 dims,4,0.0,1.067,1385,600,1,225,18919,15295,0,-1.0,-1.0
15,boa,simple map 4 dims,4,0.015,1.65,541,600,1,225,8057,6496,0,-1.0,-1.0
15,emoa,simple map 4 dims,4,0.004,0.409,541,600,1,225,8057,6496,0,-1.0,-1.0
16,boa,simple map 4 dims,4,0.015,5.647,1119,600,1,225,19963,15765,0,-1.0,-1.0
16,emoa,simple map 4 dims,4,0.0,0.911,1119,600,1,225,19963,15765,0,-1.0,-1.0
17,boa,simple map 4 dims,4,0.015,5.592,1099,600,1,225,19843,16481,0,-1.0,-1.0
17,emoa,simple map 4 dims,4,0.015,0.937,1099,600,1,225,19843,16481,0,-1.0,-1.0
18,boa,simple map 4 dims,4,0.0,0.55,302,600,1,225,6827,4847,0,-1.0,-1.0
18,emoa,simple map 4 dims,4,0.015,0.208,302,600,1,225,6827,4847,0,-1.0,-1.0
19,boa,simple map 4 dims,4,0.0,11.092,2244,600,1,225,35407,26612,0,-1.0,-1.0
19,emoa,simple map 4 dims,4,0.005,2.022,2244,600,1,225,35407,26612,0,-1.0,-1.0
20,boa,simple map 4 dims,4,0.0,0.546,385,600,1,225,4742,3655,0,-1.0,-1.0
20,emoa,simple map 4 dims,4,0.0,0.14,385,600,1,225,4742,3655,0,-1.0,-1.0
21,boa,simple map 4 dims,4,0.0,6.081,1549,600,1,225,22751,17812,0,-1.0,-1.0
21,emoa,simple map 4 dims,4,0.0,1.226,1549,600,1,225,22751,17812,0,-1.0,-1.0
22,boa,simple map 4 dims,4,0.0,1.847,758,600,1,225,13199,9617,0,-1.0,-1.0
22,emoa,simple map 4 dims,4,0.0,0.455,758,600,1,225,13199,9617,0,-1.0,-1.0
23,boa,simple map 4 dims,4,0.011,22.067,2759,600,1,225,39656,31420,0,-1.0,-1.0
23,emoa,simple map 4 dims,4,0.0,2.988,2759,600,1,225,39656,31420,0,-1.0,-1.0
24,boa,simple map 4 dims,4,0.0,0.592,258,600,1,225,4394,3450,0,-1.0,-1.0
24,emoa,simple map 4 dims,4,0.0,0.143,258,600,1,225,4394,3450,0,-1.0,-1.0
25,boa,simple map 4 dims,4,0.0,6.59,1563,600,1,225,24475,18404,0,-1.0,-1.0
25,emoa,simple map 4 dims,4,0.0,1.267,1563,600,1,225,24475,18404,0,-1.0,-1.0
26,boa,simple map 4 dims,4,0.012,6.469,1284,600,1,225,20975,16830,0,-1.0,-1.0
26,emoa,simple map 4 dims,4,0.0,1.242,1284,600,1,225,20975,16830,0,-1.0,-1.0
27,boa,simple map 4 dims,4,0.0,3.066,735,600,1,225,14014,10267,0,-1.0,-1.0
27,emoa,simple map 4 dims,4,0.0,0.678,735,600,1,225,14014,10267,0,-1.0,-1.0
28,boa,simple map 4 dims,4,0.0,3.996,1181,600,1,225,22565,18135,0,-1.0,-1.0
28,emoa,simple map 4 dims,4,0.0,0.911,1181,600,1,225,22565,18135,0,-1.0,-1.0
29,boa,simple map 4 dims,4,0.0,5.315,1278,600,1,225,22278,16845,0,-1.0,-1.0
29,emoa,simple map 4 dims,4,0.003,1.053,1278,600,1,225,22278,16845,0,-1.0,-1.0
30,boa,simple map 4 dims,4,0.0,3.962,817,600,1,225,13796,11548,0,-1.0,-1.0
30,emoa,simple map 4 dims,4,0.0,0.599,817,600,1,225,13796,11548,0,-1.0,-1.0
31,boa,simple map 4 dims,4,0.0,1.007,359,600,1,225,7462,6219,0,-1.0,-1.0
31,emoa,simple map 4 dims,4,0.0,0.277,359,600,1,225,7462,6219,0,-1.0,-1.0
32,boa,simple map 4 dims,4,0.0,0.614,248,600,1,225,4656,3860,0,-1.0,-1.0
32,emoa,simple map 4 dims,4,0.0,0.172,248,600,1,225,4656,3860,0,-1.0,-1.0
33,boa,simple map 4 dims,4,0.0,1.78,639,600,1,225,11924,9471,0,-1.0,-1.0
33,emoa,simple map 4 dims,4,0.0,0.476,639,600,1,225,11924,9471,0,-1.0,-1.0
34,boa,simple map 4 dims,4,0.0,4.02,1225,600,1,225,14700,11868,0,-1.0,-1.0
34,emoa,simple map 4 dims,4,0.0,0.644,1225,600,1,225,14700,11868,0,-1.0,-1.0
35,boa,simple map 4 dims,4,0.013,1.692,642,600,1,225,12270,9243,0,-1.0,-1.0
35,emoa,simple map 4 dims,4,0.0,0.47,642,600,1,225,12270,9243,0,-1.0,-1.0
36,boa,simple map 4 dims,4,0.0,9.704,1337,600,1,225,29021,22134,0,-1.0,-1.0
36,emoa,simple map 4 dims,4,0.0,1.756,1337,600,1,225,29021,22134,0,-1.0,-1.0
37,boa,simple map 4 dims,4,0.0,2.495,783,600,1,225,12838,10548,0,-1.0,-1.0
37,emoa,simple map 4 dims,4,0.0,0.542,783,600,1,225,12838,10548,0,-1.0,-1.0
38,boa,simple map 4 dims,4,0.0,1.574,589,600,1,225,9436,7886,0,-1.0,-1.0
38,emoa,simple map 4 dims,4,0.011,0.424,589,600,1,225,9436,7886,0,-1.0,-1.0
39,boa,simple map 4 dims,4,0.015,9.341,2357,600,1,225,30361,24628,0,-1.0,-1.0
39,emoa,simple map 4 dims,4,0.0,1.604,2357,600,1,225,30361,24628,0,-1.0,-1.0
40,boa,simple map 4 dims,4,0.0,5.076,1312,600,1,225,17730,14496,0,-1.0,-1.0
40,emoa,simple map 4 dims,4,0.0,0.898,1312,600,1,225,17730,14496,0,-1.0,-1.0
41,boa,simple map 4 dims,4,0.009,19.214,3354,600,1,225,51729,41288,0,-1.0,-1.0
41,emoa,simple map 4 dims,4,0.0,3.704,3354,600,1,225,51729,41288,0,-1.0,-1.0
42,boa,simple map 4 dims,4,0.0,2.833,855,600,1,225,12034,8830,0,-1.0,-1.0
42,emoa,simple map 4 dims,4,0.0,0.471,855,600,1,225,12034,8830,0,-1.0,-1.0
43,boa,simple map 4 dims,4,0.0,7.654,1481,600,1,225,24592,19093,0,-1.0,-1.0
43,emoa,simple map 4 dims,4,0.0,1.273,1481,600,1,225,24592,19093,0,-1.0,-1.0
44,boa,simple map 4 dims,4,0.0,5.859,1311,600,1,225,25585,19868,0,-1.0,-1.0
44,emoa,simple map 4 dims,4,0.0,1.166,1311,600,1,225,25585,19868,0,-1.0,-1.0
45,boa,simple map 4 dims,4,0.0,3.041,828,600,1,225,13401,10805,0,-1.0,-1.0
45,emoa,simple map 4 dims,4,0.003,0.665,828,600,1,225,13401,10805,0,-1.0,-1.0
46,boa,simple map 4 dims,4,0.0,2.406,763,600,1,225,11275,8864,0,-1.0,-1.0
46,emoa,simple map 4 dims,4,0.0,0.424,763,600,1,225,11275,8864,0,-1.0,-1.0
47,boa,simple map 4 dims,4,0.015,4.29,989,600,1,225,15410,12560,0,-1.0,-1.0
47,emoa,simple map 4 dims,4,0.0,0.801,989,600,1,225,15410,12560,0,-1.0,-1.0
48,boa,simple map 4 dims,4,0.0,4.182,1004,600,1,225,14873,12515,0,-1.0,-1.0
48,emoa,simple map 4 dims,4,0.0,0.629,1004,600,1,225,14873,12515,0,-1.0,-1.0
49,boa,simple map 4 dims,4,0.005,0.41,324,600,1,225,5982,4179,0,-1.0,-1.0
49,emoa,simple map 4 dims,4,0.016,0.159,324,600,1,225,5982,4179,0,-1.0,-1.0
50,boa,simple map 4 dims,4,0.015,3.664,1028,600,1,225,14540,11541,0,-1.0,-1.0
50,emoa,simple map 4 dims,4,0.0,0.708,1028,600,1,225,14540,11541,0,-1.0,-1.0
